ID;Pays;Taux;Mois;Montant;Niveau de risque;Emprunteur;capital social;année de création;Antériorité;effectifs;Nombre de mois de la période 15;Nombre de mois de la période 16;Nombre de mois de la période 17;Nombre de mois de la période 18;Chiffre d'Affaires 15;Chiffre d'Affaires 16;Chiffre d'Affaires 17;Chiffre d'Affaires 18;Evolution du Chiffre d'Affaires 15;Evolution du Chiffre d'Affaires 16;Evolution du Chiffre d'Affaires 17;Evolution du Chiffre d'Affaires 18;EBE(retraité des loyers de leasing) 15;EBE(retraité des loyers de leasing) 16;EBE(retraité des loyers de leasing) 17;EBE(retraité des loyers de leasing) 18;Marge d'EBE 15;Marge d'EBE 16;Marge d'EBE 17;Marge d'EBE 18;Resultat Net 15;Resultat Net 16;Resultat Net 17;Resultat Net 18;Total Bilan 15;Total Bilan 16;Total Bilan 17;Total Bilan 18;BFRE 15;BFRE 16;BFRE 17;BFRE 18;Capacité de remboursement (FCCR) 15;Capacité de remboursement (FCCR) 16;Capacité de remboursement (FCCR) 17;Capacité de remboursement (FCCR) 18;Fonds Propres 15;Fonds Propres 16;Fonds Propres 17;Fonds Propres 18;Fonds Propres / Total Bilan 15;Fonds Propres / Total Bilan 16;Fonds Propres / Total Bilan 17;Fonds Propres / Total Bilan 18;Passif circulant 15;Passif circulant 16;Passif circulant 17;Passif circulant 18;Actif immobilisé 15;Actif immobilisé 16;Actif immobilisé 17;Actif immobilisé 18;Actif circulant 15;Actif circulant 16;Actif circulant 17;Actif circulant 18;Dettes court terme 15;Dettes court terme 16;Dettes court terme 17;Dettes court terme 18;Dettes Moyen long terme 15;Dettes Moyen long terme 16;Dettes Moyen long terme 17;Dettes Moyen long terme 18;Dettes Nettes / EBE(* années) 15;Dettes Nettes / EBE(* années) 16;Dettes Nettes / EBE(* années) 17;Dettes Nettes / EBE(* années) 18;Dettes Nettes / Fonds propres 15;Dettes Nettes / Fonds propres 16;Dettes Nettes / Fonds propres 17;Dettes Nettes / Fonds propres 18;BFRE en nombre de jours de CA 15;BFRE en nombre de jours de CA 16;BFRE en nombre de jours de CA 17;BFRE en nombre de jours de CA 18
755334684;France;5,85 %;48; 1 100 000 €;B;Ets Provost Frères;3 058 500 €;1962;1991;11 à 50;;12;12;12;;16801;24894;35938;;N/A;48,17%;44,36%;;0% - 5%;0% - 5%;0% - 5%;;;;;;0 - 5 %;0 - 5 %;0 - 5 %;;19756;23453;30332;;;;;;0,52;1,22;1,1;;8480;10413;11198;;42,92 %;44,4 %;36,92 %;;;;;;;;;;;;;;;;;;;;;;12,74*;9,18*;4,26*;;125,88%;97,66%;66,94%;;367;252;200
666598628;Espagne;5,50 % ;48;310 000 €;B+;INTERNATIONAL STUDIES SA;396 072 €;1985;1998;11 à 50;;12;12;12;;1579;1743;2270;;N/A;10,38%;30,22%;;343;463;812;;20% - 25%;25% - 30%;35% - 40%;;0 % - 5 %;0 % - 5 %;10 % - 15 %;;1940;2040;2070;;;;;;0,23;3,67;29,53;;751;770;1041;;38,70%;37,72%;50,28%;;1114;909;827;;1064;1087;1354;;876;953;716;;100;130;135;;75;37;0;;0,47 *;0,32 *;0,11 *;;21,51%;19,20%;8,46%;;;;
528199436;Pays-Bas;6,45 %;48; 165 000 €;B;Docufiller Sales;900;2016;2016;1 à 10;;12;12;12;;514;707;758;;N/A;37,55%;7,21%;;50% - 55%;45% - 50%;55% - 60%;;;;;;10 - 15 %;10 - 15 %;0 - 5 %;;549;630;631;;;;;;8,94;0,54;2,39;;10;52;155;;1,82 %;8,25 %;24,56 %;;;;;;;;;;;;;;;;;;;;;;1,02*;-0,01*;0,47*;;2870,00%;-7,69%;135,48%;;102;-19;71
353279184;France;0.06;60;2 000 000 €;B;E.B.P.;10 000 €;2016;2014;51 à 250;;;12;12;;;27756;33064;;;N/A;19,12%;;;10% - 15%;10% - 15%;;;;;;;0 - 5 %;0 - 5 %;;;24366;27011;;;;;;;1,19;1,24;;;7410;7462;;;30,41 %;27,63 %;;;;;;;;;;;;;;;;;;;;;;;3,34*;2,99*;;;157,76%;156,74%;;;45;35
633690177;Italie;4,90 %;36;100 000 €;B+;Deltagamma;10 000 €;2003;2003;;;12;12;12;;790;626;743;;N/A;-20,82%;18,81%;;56;13;52;;5% - 10%;0% - 5%;5% - 10%;;0% - 5%;0% - 5%;0% - 5%;;420477;283;330;;-26;-52;-91;;43,57;510,45;8,06;;246;139;132;;58,62%;49,09%;40,01%;;352;202;238;;173;145;190;;229;138;140;;;49;46;;;;;;-0,99 *;2,38 *;0,30 *;;-0,22;0,23;0,12;;;;
849589318;Espagne;6,75 %;60;1 200 000 €;B;BDMED 2010 SOCIEDAD LIMITADA;2 372 808 €;2010;2010;11 à 50;;12;12;12;;0;40252;57188;;NA;NaN;42,08%;;0;1435;2773;;NaN;0% - 5%;0% - 5%;;NaN;0 % - 5 %;0 % - 5 %;;0;29154;35029;;;;;;NaN;0,79;1,27;;0;6199;7884;;NaN;21,26%;22,51%;;0;16813;19805;;0;13209;15023;;0;15945;20006;;0;6573;10484;;0;5619;7164;;NaN;7,74 *;5,91 *;;NaN;179,28%;207,94%;;;;
306158947;Espagne;5,95 %;36;1 015 000 €;B;PFP TERMOPOLIMEROS SL;553 200 €;2009;2009;11 à 50;;12;12;12;;8847;12132;14982;;NA;37,13%;23,49%;;1739;2785;3928;;15% - 20%;20% - 25%;25% - 30%;;0 % - 5 %;5 % - 10 %;5 % - 10 %;;11707;13730;18044;;;;;;1,1;1,45;1,91;;1824;2640;4057;;15,58%;19,23%;22,49%;;5517;6326;8043;;6022;6822;9317;;5685;6908;8726;;4030;5253;6531;;4358;4488;3274;;4,78 *;3,46 *;2,37 *;;455,51%;365,31%;229,58%;;;;
910388067;Pays-Bas;6,90 %;48;350 000 €;B;Wellness Innovations;1;2014;2014;11 à 50;;12;12;12;;473;1258;1806;;;165,96%;43,56%;;0% - 5%;5% - 10%;10% - 15%;;;;;;0 - 5 %;0 - 5 %;0 - 5 %;;183;356;435;;;;;;12;2,62;2,91;;45;105;111;;24,59 %;29,49 %;25,52 %;;;;;;;;;;;;;;;;;;;;;;1,89*;0,70*;-0,07*;;75,56%;69,52%;-10,81%;;-1;-6;-1
111813831;Espagne;7,10 %;60;500 000 €;B;Carlos Castilla Ingenieros;"1 507 229 €
";1985;1985;51 à 250;;12;12;12;;8687;9693;11070;;N/A;11,57%;14,21%;;1218;1367;1686;;10% - 15%;10% - 15%;15% - 20%;;0 % - 5 %;0 % - 5 %;0 % - 5 %;;18264;17915;18939;;;;;;1,18;1,19;1,4;;7119;6223;6444;;38,98%;34,74%;34,03%;;6909;6014;6269;;12689;12715;13347;;5575;5200;5592;;5803;4941;5467;;3684;5278;5675;;7,34 *;6,76 *;6,27 *;;125,69%;148,58%;164,15%;;;;
223351722;Italie;5,50 %;48; 200 000 €;B;New Line Printed Fabric;25 000 €;2001;2002;"11 à 50
";;12;12;12;;1 543;1 503;2 060;;N/A;-2,59%;37,05%;;262;343;487;;15% - 20%;20% - 25%;20% - 25%;;0% - 5%;0% - 5%;0% - 5%;;1 651;1 531;1 507;;729;613;299;;1,46;1,74;2,03;;419;486;560;;25,37%;31,72%;37,14%;;680;455;457;;434;305;267;;1 183;1 203;1 220;;236;119;83;;574;555;397;;3,06 *;1,74 *;0,57 *;;1,92;1,23;0,49;;;;
